year	sawlog	wood
1	532000	153000
2	532000	153000
3	532000	153000
4	532000	153000
5	532000	153000
6	532000	153000
7	532000	153000
8	532000	153000
9	532000	153000
10	532000	153000
11	532000	153000
12	532000	153000
13	532000	153000
14	532000	153000
15	532000	153000
16	532000	153000
17	532000	153000
18	532000	153000
19	532000	153000
20	532000	153000
21	532000	153000
22	532000	153000
23	532000	153000
24	532000	153000
25	532000	153000
26	532000	153000
27	532000	153000
28	532000	153000
29	532000	153000
30	532000	153000
31	532000	153000
32	532000	153000
33	532000	153000
34	532000	153000
35	532000	153000
36	532000	153000
37	532000	153000
38	532000	153000
39	532000	153000
40	532000	153000
41	532000	153000
42	532000	153000
43	532000	153000
44	532000	153000
45	532000	153000
46	532000	153000
47	532000	153000
48	532000	153000
49	532000	153000
50	532000	153000
51	532000	153000
52	532000	153000
53	532000	153000
54	532000	153000
55	532000	153000
56	532000	153000
57	532000	153000
58	532000	153000
59	532000	153000
60	532000	153000
61	532000	153000
62	532000	153000
63	532000	153000
64	532000	153000
65	532000	153000
66	532000	153000
67	532000	153000
68	532000	153000
69	532000	153000
70	532000	153000
71	532000	153000
72	532000	153000
73	532000	153000
74	532000	153000
75	532000	153000
76	532000	153000
77	532000	153000
78	532000	153000
79	532000	153000
80	532000	153000
81	532000	153000
82	532000	153000
83	532000	153000
84	532000	153000
85	532000	153000
86	532000	153000
87	532000	153000
88	532000	153000
89	532000	153000
90	532000	153000
91	532000	153000
