year	lct.urba	lct.agri	lct.rabn
1	0	626	2157
2	0	626	2157
3	0	626	2157
4	0	626	2157
5	0	626	2157
6	0	626	2157
7	0	626	2157
8	0	626	2157
9	0	626	2157
10	0	626	2157
11	0	626	2157
12	0	626	2157
13	0	626	2157
14	0	626	2157
15	0	626	2157
16	0	626	2157
17	0	626	2157
18	0	626	2157
19	0	626	2157
20	0	626	2157
21	0	626	2157
22	0	626	2157
23	0	626	2157
24	0	626	2157
25	0	626	2157
26	0	626	2157
27	0	626	2157
28	0	626	2157
29	0	626	2157
30	0	626	2157
31	0	626	2157
32	0	626	2157
33	0	626	2157
34	0	626	2157
35	0	626	2157
36	0	626	2157
37	0	626	2157
38	0	626	2157
39	0	626	2157
40	0	626	2157
41	0	626	2157
42	0	626	2157
43	0	626	2157
44	0	626	2157
45	0	626	2157
46	0	626	2157
47	0	626	2157
48	0	626	2157
49	0	626	2157
50	0	626	2157
51	0	626	2157
52	0	626	2157
53	0	626	2157
54	0	626	2157
55	0	626	2157
56	0	626	2157
57	0	626	2157
58	0	626	2157
59	0	626	2157
60	0	626	2157
61	0	626	2157
62	0	626	2157
63	0	626	2157
64	0	626	2157
65	0	626	2157
66	0	626	2157
67	0	626	2157
68	0	626	2157
69	0	626	2157
70	0	626	2157
71	0	626	2157
72	0	626	2157
73	0	626	2157
74	0	626	2157
75	0	626	2157
76	0	626	2157
77	0	626	2157
78	0	626	2157
79	0	626	2157
80	0	626	2157
81	0	626	2157
82	0	626	2157
83	0	626	2157
84	0	626	2157
85	0	626	2157
86	0	626	2157
87	0	626	2157
88	0	626	2157
89	0	626	2157
90	0	626	2157
91	0	626	2157
