spp	sqi	c	x	x2
1	1	0.127250	0.054900	-0.001600
2	1	0.125375	0.052900	-0.001100
3	1	0.080875	0.033600	-0.000500
4	1	0.127500	0.053500	-0.001000
5	1	0.184750	0.079400	-0.002200
6	1	0.091250	0.038000	-0.000600
7	1	0.101250	0.042000	-0.000600
8	1	0.152750	0.065600	-0.001800
9	1	0.076875	0.032000	-0.000500
10	1	0.131125	0.057200	-0.001900
11	1	0.093750	0.039500	-0.000800
12	1	0.106500	0.044600	-0.000800
13	1	0.187250	0.078900	-0.001600
1	2	0.148625	0.063200	-0.001500
2	2	0.135750	0.057300	-0.001200
3	2	0.088625	0.036700	-0.000500
4	2	0.128375	0.053600	-0.000900
5	2	0.273125	0.117500	-0.003300
6	2	0.115750	0.048300	-0.000800
7	2	0.112250	0.046400	-0.000600
8	2	0.146125	0.062200	-0.001500
9	2	0.104750	0.044900	-0.001200
10	2	0.190875	0.084600	-0.003300
11	2	0.099875	0.042200	-0.000900
12	2	0.110125	0.045800	-0.000700
13	2	0.199000	0.085600	-0.002400
1	3	0.217250	0.093400	-0.002600
2	3	0.136625	0.057400	-0.001100
3	3	0.000000	0.000000	0.000000
4	3	0.131750	0.055200	-0.001000
5	3	0.000000	0.000000	0.000000
6	3	0.183500	0.077400	-0.001600
7	3	0.000000	0.000000	0.000000
8	3	0.162625	0.068800	-0.001500
9	3	0.140625	0.061000	-0.001900
10	3	0.000000	0.000000	0.000000
11	3	0.000000	0.000000	0.000000
12	3	0.000000	0.000000	0.000000
13	3	0.000000	0.000000	0.000000
