spp	sqi	prescription	cycle	min.age	max.age	min.ba	pctg.extract	remain.ba	ts.harvest
1	1	thinning	F	85	120	NA	25	NA	30
1	1	seed.cut	F	150	NA	20	70	10	10
1	1	removal.cut	T	160	NA	7	95	NA	10
1	2	thinning	F	22	41	NA	33	NA	15
1	2	seed.cut	F	66	NA	20	60	10	10
1	2	removal.cut	T	80	NA	7	95	NA	10
1	3	thinning	F	20	40	NA	33	NA	15
1	3	seed.cut	F	49	NA	32	60	15	10
1	3	removal.cut	T	57	NA	12	95	NA	10
2	1	thinning	F	53	97	NA	23	NA	25
2	1	prep.cut	F	106	NA	37	40	19	10
2	1	seed.cut	T	115	NA	20	60	7	10
2	1	removal.cut	T	124	NA	8	95	NA	10
2	2	thinning	F	33	95	NA	23	NA	25
2	2	prep.cut	F	101	NA	31	40	18	10
2	2	seed.cut	T	113	NA	19	60	7	10
2	2	removal.cut	T	121	NA	8	95	NA	10
2	3	thinning	F	20	67	NA	23	NA	20
2	3	prep.cut	F	69	NA	39	40	23	10
2	3	seed.cut	T	79	NA	28	60	10	10
2	3	removal.cut	T	85	NA	12	95	NA	10
3	1	thinning	F	36	77	NA	25	NA	30
3	1	seed.cut	F	117	NA	18	60	5	10
3	1	removal.cut	T	136	NA	19	100	NA	10
3	2	thinning	F	22	49	NA	25	NA	10
3	2	prep.cut	F	63	NA	34	40	19	10
3	2	seed.cut	T	72	NA	20	60	8	10
3	2	removal.cut	T	81	NA	9	95	NA	10
4	1	thinning	F	47	111	NA	20	NA	21
4	1	prep.cut	F	122	NA	33	30	20	10
4	1	seed.cut	T	129	NA	25	60	10	10
4	1	removal.cut	T	137	NA	12	95	NA	10
4	2	thinning	F	30	83	NA	30	NA	18
4	2	prep.cut	F	107	NA	46	50	25	10
4	2	seed.cut	T	114	NA	25	60	10	10
4	2	removal.cut	T	121	NA	11	95	NA	10
4	3	thinning	F	25	85	NA	30	NA	12
4	3	prep.cut	F	96	NA	60	50	30	10
4	3	seed.cut	T	104	NA	32	60	10	10
4	3	removal.cut	T	114	NA	13	95	NA	10
5	1	thinning	F	30	35	NA	30	NA	30
5	1	removal.cut	F	50	NA	5	100	NA	10
5	2	thinning	T	30	35	NA	30	NA	30
5	2	removal.cut	F	45	NA	5	100	NA	10
6	1	thinning	F	65	100	NA	33	NA	20
6	1	seed.cut	F	150	NA	25	60	15	10
6	1	removal.cut	T	150	NA	15	95	NA	10
6	2	thinning	F	35	75	NA	30	NA	25
6	2	seed.cut	F	120	NA	30	60	20	10
6	2	removal.cut	T	120	NA	15	95	NA	10
6	3	thinning	F	40	100	NA	25	NA	25
6	3	seed.cut	F	120	NA	30	60	20	10
6	3	removal.cut	T	120	NA	15	95	NA	10
7	1	thinning	F	65	100	NA	33	NA	20
7	1	seed.cut	F	150	NA	25	60	15	10
7	1	removal.cut	T	150	NA	15	95	NA	10
7	2	thinning	F	40	100	NA	25	NA	25
7	2	seed.cut	F	120	NA	30	60	20	10
7	2	removal.cut	T	120	NA	15	95	NA	10
8	1	thinning	F	40	99	NA	25	NA	30
8	1	removal.cut	F	100	NA	25	100	NA	10
8	2	removal.cut	F	45	NA	30	100	NA	0
8	3	removal.cut	F	35	NA	34	100	NA	0
10	1	thinning	F	50	60	NA	25	NA	50
10	1	removal.cut	F	100	NA	25	100	NA	10
10	2	removal.cut	F	50	NA	28	100	NA	10
11	1	thinning	F	50	60	NA	25	NA	50
11	1	removal.cut	F	100	NA	25	100	NA	10
11	2	removal.cut	F	50	NA	28	100	NA	10
12	1	thinning	F	45	79	NA	25	NA	20
12	1	prep.cut	F	92	NA	28	40	16	10
12	1	seed.cut	T	101	NA	19	60	7	10
12	1	removal.cut	T	110	NA	9	95	NA	10
12	2	thinning	F	27	72	NA	25	NA	20
12	2	prep.cut	F	82	NA	43	40	25	10
12	2	seed.cut	T	90	NA	30	60	11	10
12	2	removal.cut	T	98	NA	15	95	NA	10
13	1	removal.cut	F	28	NA	46	100	NA	10
13	2	thinning	F	16	25	44	36	NA	25
13	2	removal.cut	F	28	NA	41	100	NA	10
