name	spp	sqi	minage.prep	minab.prep	pctgextract.prep	thab.prep	minage.diss	minab.diss	pctgextract.diss	thab.diss	tafter.diss	minage.fin	minab.fin	pctgextract.fin	tafter.fin	orgest
phalepensis	1	1	NA	NA	NA	NA	150	0	70	0	10	165	0	100	10	PH08
phalepensis	1	2	NA	NA	NA	NA	36	20	60	10	10	45	7	100	10	PH06
phalepensis	1	3	NA	NA	NA	NA	49	32	60	15	10	57	12	100	10	PH02
pnigra	2	1	161	29	40	18	172	17	60	6	10	181	8	100	10	PN09
pnigra	2	2	141	25	40	17	151	15	60	6	10	159	8	100	10	PN06
pnigra	2	3	118	50	40	22	129	31	60	9	10	138	13	100	10	PN03
ppinea	3	1	117	18	40	0	127	0	60	0	10	137	0	100	10	PPA09
ppinea	3	2	72	30	40	11	81	17	60	5	10	90	8	100	10	PPA05
ppinea	3	3	63	34	40	18	72	20	60	7	10	81	9	100	10	PPA01
psylvestris	4	1	122	33	30	20	129	25	60	10	10	137	12	100	10	PS15
psylvestris	4	2	107	46	50	25	114	25	60	10	10	121	11	100	10	PS11
psylvestris	4	3	96	60	50	30	104	32	60	10	10	114	13	100	10	PS07
ppinaster	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	0	100	10	PPR03
ppinaster	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	0	100	10	PPR02
ppinaster	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
puncinata	6	1	NA	NA	NA	NA	150	25	60	15	10	170	15	100	10	PU07
puncinata	6	2	NA	NA	NA	NA	120	30	60	20	10	140	15	100	10	PU05
puncinata	6	3	NA	NA	NA	NA	120	30	60	20	10	130	15	100	10	PU01
aalba	7	1	NA	NA	NA	NA	150	25	60	15	10	170	15	100	10	PU07
aalba	7	2	NA	NA	NA	NA	120	30	60	20	10	140	15	100	10	PU05
aalba	7	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
qilex	8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	25	100	10	QIL07
qilex	8	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	30	100	10	QIL05
qilex	8	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	30	100	10	QIL02
qsuber	9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
qsuber	9	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
qsuber	9	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
qfaginea	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	25	100	10	QF03
qfaginea	10	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	28	100	10	QF01
qfaginea	10	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
qhumilis	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	25	100	10	QH04
qhumilis	11	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	25	100	10	QH01
qhumilis	11	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fsylvatica	12	1	92	28	40	17	101	19	60	8	10	110	9	100	10	FS05
fsylvatica	12	2	82	43	40	26	90	30	60	12	10	98	15	100	10	FS01
fsylvatica	12	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
othertrees	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	46	100	10	CS05
othertrees	13	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	41	100	10	CS03
othertrees	13	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
