Year	Wind	Heat
1	0	0.046666667
2	0.026666667	0.086666667
3	0	0.04
4	0	0.026666667
5	0.006666667	0.086666667
6	0.153333333	0.08
7	0.046666667	0.04
8	0.026666667	0.02
9	0.06	0.166666667
10	0.02	0.093333333
11	0.086666667	0.1
12	0.046666667	0.04
13	0.013333333	0.04
14	0.12	0.14
15	0.133333333	0.08
16	0.02	0.066666667
17	0.046666667	0.04
18	0.126666667	0.08
19	0.053333333	0.173333333
20	0.046666667	0.093333333
21	0.153333333	0.073333333
22	0.186666667	0.146666667
23	0.06	0.073333333
24	0.02	0.053333333
25	0.14	0.22
26	0.133333333	0.14
27	0.046666667	0.08
28	0.14	0.08
29	0.14	0.146666667
30	0.153333333	0.146666667
31	0.18	0.16
32	0.173333333	0.113333333
33	0.226666667	0.206666667
34	0.2	0.12
35	0.133333333	0.153333333
36	0.093333333	0.126666667
37	0.146666667	0.066666667
38	0.173333333	0.026666667
39	0.233333333	0.1
40	0.073333333	0.206666667
41	0.233333333	0.073333333
42	0.226666667	0.053333333
43	0.173333333	0.08
44	0.206666667	0.093333333
45	0.126666667	0.153333333
46	0.226666667	0.173333333
47	0.106666667	0.173333333
48	0.12	0.193333333
49	0.1	0.133333333
50	0.166666667	0.086666667
51	0.313333333	0.08
52	0.166666667	0.106666667
53	0.286666667	0.1
54	0.053333333	0.1
55	0.166666667	0.08
56	0.1	0.2
57	0.193333333	0.133333333
58	0.24	0.206666667
59	0.12	0.14
60	0.16	0.153333333
61	0.153333333	0.133333333
62	0.193333333	0.106666667
63	0.04	0.093333333
64	0.146666667	0.153333333
65	0.12	0.086666667
66	0.133333333	0.086666667
67	0.24	0.16
68	0.08	0.133333333
69	0.173333333	0.066666667
70	0.133333333	0.14
71	0.146666667	0.146666667
72	0.26	0.233333333
73	0.28	0.166666667
74	0.126666667	0.106666667
75	0.153333333	0.246666667
76	0.173333333	0.12
77	0.24	0.193333333
78	0.153333333	0.066666667
79	0.166666667	0.213333333
80	0.106666667	0.053333333
81	0.12	0.193333333
82	0.226666667	0.133333333
83	0.213333333	0.153333333
84	0.273333333	0.126666667
85	0.193333333	0.246666667
86	0.22	0.173333333
87	0.266666667	0.166666667
88	0.173333333	0.06
89	0.16	0.153333333
90	0.186666667	0.133333333
