spp	c0	c_mnan	c2_mnan	c_mxan	c2_mxan	c_plan	c2_plan	c_pet	c2_pet	th_p10
1	-0.754578183	1.957232578	-0.985311534	0.260253569	-0.861290885	-1.417722887	-0.364620114	0.004344533	0	0.105836205
2	-0.68070547	-3.09779814	-1.64011179	1.05267584	0	-0.63476089	-1.82507077	0.08293209	0	0.014305798
3	-2.0338925	3.9450241	-1.8659647	-0.78851	0	1.6365401	-1.9540356	0.1887248	0	0.033643624
4	-1.76794571	-2.9277067	-1.15713756	-0.62637257	-0.6052546	1.28207864	-0.69623941	-0.07088368	0	0.009418732
5	-4.0618016	1.8358315	-0.4216373	0.8856385	0	2.7231821	-1.3175678	-0.1879176	0	0.001506148
6	-13.9955217	-10.9691221	-4.5973915	-5.8587663	-1.1641942	0.1536154	0	-0.89649	-0.1042138	0.000456433
7	-9.4916285	2.4367623	1.5027565	-7.5549908	-2.9063672	1.8652838	0	-0.5131351	0	0.004144866
8	-0.16116915	0.30858862	-0.28011931	0.19161993	-0.69775741	1.13520828	-0.76970806	-0.12418444	-0.07288537	0.03140889
9	-3.6815936	8.050978	-3.9901844	-0.7603051	-2.7482401	5.3932724	-3.0982233	0.1063549	0.2420739	0.047510331
10	-2.1666999	-0.961548	-0.6506277	-0.4505455	-0.7509611	-0.8644304	-0.3538988	0.1212427	0	0.007035474
11	-1.40333592	-0.65309759	-0.34087755	0.51675759	-0.45226446	1.0143284	-0.53929979	-0.01058703	-0.13041839	0.014149394
12	-7.6585408	-3.5044776	-3.0773038	-1.7948292	-0.54065	5.3584573	-0.9407409	-0.1443064	0	0.000002323453
13	-4.56937598	2.42025717	-3.68711466	-2.43226536	0	5.54370936	-2.19063243	-0.02210287	0	0.00039216
13	-9.626542	-1.6969135	1.1594382	-1.3088703	-1.4115992	4.5034953	-1.3696815	-0.2323675	0	0.003420235
13	-4.8410653	0.57861625	0.66168536	-0.82326091	-1.27141208	1.93241782	0	0.04945405	-0.07902125	0.000657261
