spp	c0	c_mnan	c2_mnan	c_plan	c2_plan	c_aspect	c_slope
1	-0.75200621	0.29337733	0.00000000	1.08525295	-0.38037003	0.02958235	-0.17060158
2	-0.85503140	-0.29320290	-0.63597720	1.52190820	-0.52990760	-0.12622240	-0.42955350
3	-2.59353590	5.21270430	-5.13334660	-0.62986730	1.55493320	0.80994490	-0.64533300
4	-0.99180186	-0.14457879	0.00000000	0.05465672	0.00000000	-0.08476208	-0.33900946
5	-2.12484338	-0.05075931	0.00000000	0.81989039	0.00000000	1.18957173	-0.53163115
6	2.04320188	1.46048833	0.00000000	-0.29126279	0.00000000	-0.27921337	0.02784288
7	1.44915758	0.90712707	0.00000000	-0.29482008	0.00000000	-0.00248005	-0.23843072
8	-1.24273244	0.05524402	-0.30316168	0.44759696	0.28123500	-0.13284508	-0.29297969
9	-1.39073927	-1.51723314	2.68070195	1.09934108	-1.02957638	-0.19715782	0.06680378
10	-0.41888200	8.61140400	4.50748600	4.59448900	0.00000000	1.41770000	-1.48245600
11	-0.79617400	0.43968440	0.00000000	0.33818360	0.00000000	-0.11453590	-0.50028000
12	-2.50820590	-1.89725680	-0.95892810	0.43519470	0.00000000	0.65634780	-0.27913960
13	-6.70050160	1.11361430	0.00000000	11.34339270	-4.53106040	-0.86065810	-0.10555790
